Date,Home ID,Home Name,Booking Ref,Activity Type,Time,Location Market,Schedule State,Assignee Status,Business Address
Thu 4 Dec,HYD144,Hardwick Street III,BB-A0EDDE21,Provision,09:00–12:00,Clerkenwell,To be scheduled,Uncovered 1,"21 Knightsbridge, London SW1X 7LY, United Kingdom"
Thu 4 Dec,KEY100,Keystone Crescent,BB-A4B9CF26,Provision,09:00–11:15,King's Cross,To be scheduled,Uncovered 2,"6 Pancras Sq, London N1C 4AG, United Kingdom"
Thu 4 Dec,CAL613,Callcott Street IV,BB-77606EE0,Provision,09:00–13:30,Notting Hill,To be scheduled,Uncovered 3,"5th floor, 22 Eastcheap, London EC3R 8EE, United Kingdom"
Thu 4 Dec,MAR778,Market Place,8442CEA4,Provision,08:00–17:00,Soho,To be scheduled,Uncovered 4,"40 Gracechurch St, London EC3V 0BT, United Kingdom"
Thu 4 Dec,RAD501,Radipole Road IV,BB-F4295294,Provision,09:00–10:00,Fulham,To be scheduled,Uncovered 5,"5th Floor, 167, 169 Great Portland St, London W1W 5PF, United Kingdom"
Thu 4 Dec,HOL050,Holland Park Avenue VII,BB-1D5EEEB3,Provision,09:00–10:00,Holland Park,To be scheduled,Uncovered 6,"London W8 6LU, United Kingdom"
Thu 4 Dec,ELV155,Elvaston Place III,BB-0463841E,Provision,08:00–11:00,South Kensington,To be scheduled,Uncovered 7,"20-22 Wenlock Rd, London N1 7GU, United Kingdom"
Thu 4 Dec,EBU122,Ebury Street,BB-C6883F22,Greet,11:00–13:00,Belgravia,[Blank],Uncovered 8,"25 Eccleston Pl, London SW1W 9NF, United Kingdom"
Thu 4 Dec,EBU122,Ebury Street,BB-C6883F22,Deprovision,11:00–14:15,Belgravia,To be scheduled,Uncovered 9,"25 Eccleston Pl, London SW1W 9NF, United Kingdom"
Thu 4 Dec,CAL613,Callcott Street IV,BB-77606EE0,Bag Drop,12:30–14:30,Notting Hill,[Blank],Uncovered 10,"5th floor, 22 Eastcheap, London EC3R 8EE, United Kingdom"
Thu 4 Dec,MAR778,Market Place,8442CEA4,Bag Drop,12:30–14:30,Soho,[Blank],Uncovered 11,"40 Gracechurch St, London EC3V 0BT, United Kingdom"
Thu 4 Dec,RAD501,Radipole Road IV,BB-F4295294,Greet,16:00–18:00,Fulham,[Blank],Uncovered 12,"5th Floor, 167, 169 Great Portland St, London W1W 5PF, United Kingdom"
Thu 4 Dec,HOL050,Holland Park Avenue VII,BB-1D5EEEB3,Greet,16:00–18:00,Holland Park,[Blank],Uncovered 13,"London W8 6LU, United Kingdom"
Thu 4 Dec,KEY100,Keystone Crescent,BB-A4B9CF26,Greet,16:00–18:00,King's Cross,[Blank],Uncovered 14,"6 Pancras Sq, London N1C 4AG, United Kingdom"
Thu 4 Dec,HYD144,Hardwick Street III,BB-A0EDDE21,Greet,16:00–18:00,Clerkenwell,[Blank],Uncovered 15,"21 Knightsbridge, London SW1X 7LY, United Kingdom"
Thu 4 Dec,ELV155,Elvaston Place III,BB-0463841E,Greet,22:30–23:00,South Kensington,[Blank],Uncovered 16,"20-22 Wenlock Rd, London N1 7GU, United Kingdom"
Fri 5 Dec,WIL135,Willes Road II,46F45D7E,Deprovision,09:00–12:00,Camden,To be scheduled,Uncovered 17,"33 Parkway, London NW1 7PN, United Kingdom"
Fri 5 Dec,LAD379,Ladbroke Grove XV,4540421E,Deprovision,11:00–13:00,Notting Hill,To be scheduled,Uncovered 18,"13 Blenheim Cres, London W11 2EE, United Kingdom"
Fri 5 Dec,COR574,Cornwall Gardens XXIII,E9386494,Deprovision,11:00–13:15,South Kensington,To be scheduled,Uncovered 19,"28 Old Brompton Rd, South Kensington, London SW7 3SS, United Kingdom"
Sat 6 Dec,CAD444,Cadogan Place IV,78DB05F7,Provision,09:00–12:00,Belgravia,To be scheduled,Uncovered 20,"Stanmore Business & Innovation Centre, Honeypot Ln, Stanmore HA7 1GB, United Kingdom"
